scenario_name,family,graph_path,graph_relpath,source_file,window_start,window_end,num_nodes,num_edges,num_node_features,num_edge_features,num_labeled_nodes,num_positive_nodes,num_negative_nodes,num_unknown_nodes
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_094500.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_094500.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T09:45:00,2011-08-10T09:50:00,19441,20422,24,11,6,0,6,19435
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_095000.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_095000.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T09:50:00,2011-08-10T09:55:00,26545,27594,24,11,7,1,6,26538
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_095500.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_095500.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T09:55:00,2011-08-10T10:00:00,23318,24123,24,11,6,0,6,23312
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_100000.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_100000.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T10:00:00,2011-08-10T10:05:00,22077,22914,24,11,6,0,6,22071
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_100500.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_100500.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T10:05:00,2011-08-10T10:10:00,21018,21647,24,11,6,0,6,21012
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_101000.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_101000.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T10:10:00,2011-08-10T10:15:00,19549,20158,24,11,5,0,5,19544
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_101500.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_101500.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T10:15:00,2011-08-10T10:20:00,20245,21137,24,11,5,0,5,20240
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_102000.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_102000.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T10:20:00,2011-08-10T10:25:00,19087,19833,24,11,5,0,5,19082
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_102500.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_102500.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T10:25:00,2011-08-10T10:30:00,17449,18217,24,11,6,0,6,17443
CTU-Malware-Capture-Botnet-42,Neris,C:\Users\Montana\My Code\CSCI611_Montana_Pawek\GNN\packagedData\graphs\CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_103000.pt,CTU-Malware-Capture-Botnet-42\CTU-Malware-Capture-Botnet-42__20110810_103000.pt,data/nerisFamily/CTU-Malware-Capture-Botnet-42/capture20110810.binetflow,2011-08-10T10:30:00,2011-08-10T10:35:00,15417,16115,24,11,6,0,6,15411
